Date,Open,High,Low,Close,Adj Close,Volume
2017-01-17,2.730000,2.730000,2.730000,2.730000,2.730000,1
2017-01-18,2.860000,2.860000,2.860000,2.860000,2.860000,500
2017-01-20,2.860000,2.860000,2.860000,2.860000,2.860000,0
2017-01-23,2.730000,2.730000,2.730000,2.730000,2.730000,1
2017-01-24,2.730000,2.730000,2.730000,2.730000,2.730000,0
2017-01-25,2.730000,2.730000,2.730000,2.730000,2.730000,0
2017-01-27,2.730000,2.730000,2.730000,2.730000,2.730000,0
2017-01-30,2.730000,2.730000,2.730000,2.730000,2.730000,0
2017-01-31,2.730000,2.730000,2.730000,2.730000,2.730000,0
2017-02-01,2.730000,2.730000,2.730000,2.730000,2.730000,0
2017-02-02,2.730000,2.730000,2.730000,2.730000,2.730000,0
2017-02-03,2.730000,2.730000,2.730000,2.730000,2.730000,0
2017-02-06,2.730000,2.730000,2.730000,2.730000,2.730000,0
2017-02-07,2.730000,2.730000,2.730000,2.730000,2.730000,0
2017-02-08,2.730000,2.730000,2.730000,2.730000,2.730000,0
2017-02-09,2.730000,2.730000,2.730000,2.730000,2.730000,0
2017-02-10,2.860000,2.860000,2.610000,2.610000,2.610000,8
2017-02-13,2.610000,2.610000,2.610000,2.610000,2.610000,0
2017-02-14,2.610000,2.610000,2.610000,2.610000,2.610000,0
2017-02-15,2.490000,2.490000,2.490000,2.490000,2.490000,5
2017-02-16,2.490000,2.490000,2.490000,2.490000,2.490000,0
2017-02-17,2.490000,2.490000,2.490000,2.490000,2.490000,0
2017-02-20,2.490000,2.490000,2.490000,2.490000,2.490000,479
2017-02-21,2.490000,2.490000,2.490000,2.490000,2.490000,0
2017-02-22,2.490000,2.490000,2.490000,2.490000,2.490000,0
2017-02-23,2.490000,2.490000,2.490000,2.490000,2.490000,0
2017-02-27,2.490000,2.490000,2.490000,2.490000,2.490000,0
2017-02-28,2.490000,2.490000,2.490000,2.490000,2.490000,0
2017-03-01,2.490000,2.490000,2.490000,2.490000,2.490000,0
2017-03-02,2.490000,2.490000,2.490000,2.490000,2.490000,0
2017-03-06,2.610000,2.610000,2.610000,2.610000,2.610000,9
2017-03-07,2.730000,2.730000,2.730000,2.730000,2.730000,1500
2017-03-08,2.730000,2.730000,2.730000,2.730000,2.730000,0
2017-03-09,2.860000,2.860000,2.860000,2.860000,2.860000,300
2017-03-10,2.860000,2.860000,2.860000,2.860000,2.860000,0
2017-03-14,2.750000,2.750000,2.750000,2.750000,2.750000,1500
2017-03-15,2.750000,2.750000,2.750000,2.750000,2.750000,0
2017-03-16,2.750000,2.750000,2.750000,2.750000,2.750000,0
2017-03-17,2.750000,2.750000,2.750000,2.750000,2.750000,0
2017-03-20,2.860000,2.860000,2.860000,2.860000,2.860000,5
2017-03-21,3.000000,3.000000,3.000000,3.000000,3.000000,4
2017-03-22,3.150000,3.150000,3.150000,3.150000,3.150000,276
2017-03-23,3.300000,3.300000,3.300000,3.300000,3.300000,107
2017-03-24,3.300000,3.300000,3.300000,3.300000,3.300000,0
2017-03-27,3.300000,3.300000,3.300000,3.300000,3.300000,1200
2017-03-28,3.460000,3.460000,3.460000,3.460000,3.460000,80
2017-03-29,3.500000,3.500000,3.500000,3.500000,3.500000,17
2017-03-30,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-03-31,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-04-03,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-04-05,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-04-06,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-04-07,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-04-10,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-04-11,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-04-12,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-04-13,3.590000,3.670000,3.590000,3.670000,3.670000,188
2017-04-17,3.670000,3.670000,3.670000,3.670000,3.670000,0
2017-04-18,3.670000,3.670000,3.670000,3.670000,3.670000,0
2017-04-19,3.670000,3.670000,3.670000,3.670000,3.670000,0
2017-04-20,3.670000,3.670000,3.670000,3.670000,3.670000,0
2017-04-21,3.670000,3.670000,3.670000,3.670000,3.670000,0
2017-04-24,3.670000,3.670000,3.670000,3.670000,3.670000,0
2017-04-25,3.670000,3.670000,3.670000,3.670000,3.670000,0
2017-04-26,3.670000,3.670000,3.670000,3.670000,3.670000,0
2017-04-27,3.670000,3.670000,3.670000,3.670000,3.670000,0
2017-04-28,3.670000,3.670000,3.670000,3.670000,3.670000,0
2017-05-02,3.670000,3.670000,3.670000,3.670000,3.670000,0
2017-05-03,3.670000,3.670000,3.670000,3.670000,3.670000,0
2017-05-04,3.670000,3.670000,3.670000,3.670000,3.670000,1900
2017-05-05,3.670000,3.670000,3.670000,3.670000,3.670000,0
